time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-09T07:24:31.590Z,44.2823333,-115.077,7.44,2.66,ml,24,67,0.865,0.25,mb,mb80540009,2022-03-09T17:35:05.190Z,"13 km WNW of Stanley, Idaho",earthquake,0.45,1.21,0.186,23,reviewed,mb,mb
2022-03-09T04:41:18.860Z,18.7315,-66.706,35.7,3.07,md,10,249,,0.2,pr,pr71339588,2022-03-09T06:33:07.170Z,"28 km N of Arecibo, Puerto Rico",earthquake,1.04,2.2,0.036861896,7,reviewed,pr,pr
2022-03-09T02:44:44.842Z,-37.758,177.3363,77.81,5.1,mb,,53,0.794,0.78,us,us6000h37j,2022-03-09T04:48:32.516Z,"28 km N of Opotiki, New Zealand",earthquake,5.2,6,0.09,40,reviewed,us,us
2022-03-09T02:07:05.737Z,-38.3861,-93.0291,10,5.1,mww,,52,15.289,0.86,us,us6000h37h,2022-03-09T03:06:06.040Z,West Chile Rise,earthquake,11.6,1.8,0.052,35,reviewed,us,us
2022-03-09T02:05:20.776Z,7.2553,-78.0744,10,4.6,mb,,105,2.321,0.95,us,us6000h37d,2022-03-09T02:25:01.040Z,"30 km SSE of Jaqué, Panama",earthquake,2.4,1.9,0.173,10,reviewed,us,us
2022-03-09T01:49:19.867Z,2.5805,128.433,53.24,5.1,mb,,82,2.088,0.84,us,us6000h37b,2022-03-09T02:08:09.040Z,"105 km NNE of Tobelo, Indonesia",earthquake,7.4,7.5,0.048,140,reviewed,us,us
2022-03-09T00:58:19.742Z,53.8644,160.2322,64.58,4.5,mb,,126,1.267,0.74,us,us6000h375,2022-03-09T01:33:38.040Z,"138 km NE of Petropavlovsk-Kamchatsky, Russia",earthquake,7.1,6.1,0.057,90,reviewed,us,us
2022-03-08T23:21:38.981Z,27.5689,56.0146,10,4.5,mb,,83,2.618,0.86,us,us6000h36i,2022-03-08T23:45:58.040Z,southern Iran,earthquake,8.4,1.9,0.074,53,reviewed,us,us
2022-03-08T21:53:57.927Z,14.2012,-91.304,81.47,4.1,mb,,162,1.508,0.96,us,us6000h35x,2022-03-08T22:54:32.040Z,"0 km WNW of Nueva Concepción, Guatemala",earthquake,6.6,8.9,0.077,46,reviewed,us,us
2022-03-08T21:39:56.823Z,12.3885,-88.4616,33.35,4.3,mb,,197,1.082,1.01,us,us6000h35u,2022-03-08T22:38:49.040Z,"98 km SSW of Chirilagua, El Salvador",earthquake,8.1,10.5,0.101,28,reviewed,us,us
2022-03-08T21:28:05.060Z,60.8328,-150.6127,45.1,3.6,ml,,,,0.77,ak,ak022335od6n,2022-03-09T21:31:21.586Z,"10 km SSE of Point Possession, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-03-08T20:37:23.247Z,38.6532,-97.4806,5,3,mb_lg,,99,0.717,0.44,us,us6000h34z,2022-03-09T19:40:23.040Z,"7 km SW of Gypsum, Kansas",earthquake,2,1.8,0.049,108,reviewed,us,us
2022-03-08T19:08:05.722Z,-30.3969,-177.1919,10,5,mb,,69,1.296,0.45,us,us6000h34m,2022-03-09T19:21:55.040Z,"Kermadec Islands, New Zealand",earthquake,9.1,1.8,0.069,71,reviewed,us,us
2022-03-08T18:44:44.180Z,52.2532,-170.0887,47.27,3.8,mb,,179,1.041,1.13,us,us6000h34l,2022-03-08T20:12:42.040Z,"112 km SW of Nikolski, Alaska",earthquake,3.4,8.2,0.073,54,reviewed,us,us
2022-03-08T18:18:46.562Z,51.4509,179.6263,14.1,2.9,ml,,173,0.215,0.24,us,us6000h37l,2022-03-09T18:58:07.040Z,"262 km WSW of Adak, Alaska",earthquake,2.1,4.2,0.115,10,reviewed,us,us
2022-03-08T17:36:50.239Z,54.6373,-156.8853,23.7,3.6,ml,,,,0.67,ak,ak022333ckw3,2022-03-09T18:15:41.040Z,"201 km SE of Perryville, Alaska",earthquake,,5.9,,,reviewed,ak,ak
2022-03-08T17:14:36.909Z,-54.1448,145.8055,10,5.5,mww,,53,7.7,0.68,us,us6000h33h,2022-03-09T17:18:04.449Z,west of Macquarie Island,earthquake,8.6,1.8,0.086,13,reviewed,us,us
2022-03-08T16:49:45.340Z,19.245,-155.3855,31.7,3.6,ml,51,140,,0.14,hv,hv72943142,2022-03-09T16:51:52.578Z,"10 km ENE of P?hala, Hawaii",earthquake,0.44,0.56,0.14580419,44,reviewed,hv,hv
2022-03-08T16:35:26.036Z,-40.2584,175.1266,104.31,4,ml,,100,0.529,0.9,us,us6000h321,2022-03-08T16:46:42.040Z,"23 km WSW of Bulls, New Zealand",earthquake,6.9,8.9,0.085,18,reviewed,us,us
2022-03-08T15:04:48.870Z,19.20966721,-155.3713379,32.43000031,2.56,ml,48,160,,0.119999997,hv,hv72943052,2022-03-08T15:39:47.040Z,"11 km E of P?hala, Hawaii",earthquake,0.5,0.639999986,3.01,25,automatic,hv,hv
2022-03-08T14:47:03.638Z,26.8735,126.5404,10,4.8,mb,,52,1.547,0.64,us,us6000h31g,2022-03-08T15:20:10.040Z,"135 km WNW of Naha, Japan",earthquake,7.3,1.9,0.088,43,reviewed,us,us
2022-03-08T14:31:45.350Z,-22.8813,-66.2242,218.56,4.3,mb,,45,1.803,0.39,us,us6000h31c,2022-03-08T15:30:12.040Z,"56 km WSW of Abra Pampa, Argentina",earthquake,6.2,11,0.201,7,reviewed,us,us
2022-03-08T14:22:15.158Z,36.1122,70.4874,101.09,4.2,mb,,109,1.013,0.79,us,us6000h31a,2022-03-08T14:55:28.040Z,"76 km SE of Farkh?r, Afghanistan",earthquake,7.8,6.6,0.118,20,reviewed,us,us
2022-03-08T14:05:34.337Z,52.3287,-174.2791,7.3,3.1,ml,,123,0.039,0.43,us,us6000h34t,2022-03-08T21:31:12.040Z,"15 km NNW of Atka, Alaska",earthquake,1.7,2.4,0.115,10,reviewed,us,us
2022-03-08T13:56:21.203Z,14.0303,-60.2253,32.99,4.3,mb,,93,0.948,0.14,us,us6000h318,2022-03-08T15:53:55.425Z,"73 km E of Dennery, Saint Lucia",earthquake,5.9,1.5,0.134,16,reviewed,us,us
2022-03-08T13:28:25.229Z,26.8194,126.577,10,4.4,mb,,64,1.515,0.95,us,us6000h314,2022-03-08T14:35:14.040Z,"128 km WNW of Naha, Japan",earthquake,8.7,1.9,0.13,17,reviewed,us,us
2022-03-08T13:20:51.449Z,70.5717,-14.4821,10,4.2,mb,,55,2.504,1.01,us,us6000h312,2022-03-08T14:23:27.040Z,"215 km WSW of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.8,1.9,0.124,18,reviewed,us,us
2022-03-08T12:27:36.670Z,17.9045,-66.85166667,12.25,2.51,md,23,197,,0.2,pr,pr71339488,2022-03-08T13:03:20.460Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.51,0.48,0.096724825,6,reviewed,pr,pr
2022-03-08T10:53:45.668Z,26.8324,126.5701,10,4.3,mb,,80,1.521,0.43,us,us6000h30n,2022-03-08T12:50:08.040Z,"130 km WNW of Naha, Japan",earthquake,6.1,1.9,0.125,20,reviewed,us,us
2022-03-08T10:35:51.786Z,-19.9643,-71.1156,13.93,4.1,mwr,,144,0.974,0.34,us,us6000h30e,2022-03-08T14:35:13.287Z,"104 km WNW of Iquique, Chile",earthquake,5,4.9,0.058,29,reviewed,us,us
2022-03-08T10:09:04.514Z,26.8161,126.5675,10,4.3,mb,,39,1.523,0.34,us,us6000h308,2022-03-08T12:29:03.040Z,"129 km WNW of Naha, Japan",earthquake,6.7,1.9,0.081,45,reviewed,us,us
2022-03-08T08:56:42.644Z,70.6557,-14.3298,10,4.5,mb,,55,2.554,0.61,us,us6000h300,2022-03-08T09:28:10.040Z,"208 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,4.4,1.9,0.069,62,reviewed,us,us
2022-03-08T08:04:40.270Z,18.1316,-68.4761,46,3.85,md,22,186,0.3938,0.33,pr,pr2022067000,2022-03-08T09:31:06.798Z,"30 km SSE of Boca de Yuma, Dominican Republic",earthquake,1.7,2.25,0.1,12,reviewed,pr,pr
2022-03-08T06:12:04.310Z,19.16283417,-155.3466644,1.809999943,2.76,ml,12,227,,0.289999992,hv,hv72942402,2022-03-08T06:17:36.780Z,"14 km ESE of P?hala, Hawaii",earthquake,3.53,23.5,3.45,12,automatic,hv,hv
2022-03-08T06:11:59.160Z,19.21933365,-155.3730011,32.54999924,2.68,ml,50,157,,0.129999995,hv,hv72942407,2022-03-08T06:18:09.127Z,"11 km E of P?hala, Hawaii",earthquake,0.55,0.600000024,3.71,35,automatic,hv,hv
2022-03-08T05:48:42.451Z,18.7505,-74.168,10,4.6,mb,,68,1.418,1.22,us,us6000h2z3,2022-03-08T06:51:52.040Z,"12 km NNW of Jérémie, Haiti",earthquake,3.8,1.9,0.136,16,reviewed,us,us
2022-03-08T05:26:40.661Z,-33.5178,-177.9927,10,4.9,mb,,158,4.243,0.56,us,us6000h2yw,2022-03-08T06:00:49.040Z,south of the Kermadec Islands,earthquake,13.1,1.9,0.128,19,reviewed,us,us
2022-03-08T04:16:10.834Z,-24.2732,-67.1713,205.73,4.1,mb,,70,1.607,0.41,us,us6000h2ye,2022-03-09T01:20:30.040Z,"86 km W of San Antonio de los Cobres, Argentina",earthquake,7,10.9,0.234,5,reviewed,us,us
2022-03-08T04:10:10.671Z,-58.9789,-25.6973,60.21,5.1,mb,,45,7.582,0.7,us,us6000h2yd,2022-03-09T02:51:32.040Z,South Sandwich Islands region,earthquake,10.6,4.8,0.071,65,reviewed,us,us
2022-03-08T03:50:51.911Z,27.0114,126.7667,10,4.8,mb,,74,1.355,0.62,us,us6000h2y9,2022-03-09T02:35:32.075Z,"123 km WNW of Ishikawa, Japan",earthquake,4.9,1.9,0.088,40,reviewed,us,us
2022-03-08T03:39:46.550Z,36.2478333,-120.8196667,6.53,2.84,md,72,110,0.03517,0.1,nc,nc73702686,2022-03-09T00:39:24.040Z,"22km NE of San Lucas, CA",earthquake,0.21,0.23,0.192,111,reviewed,nc,nc
2022-03-08T03:05:59.280Z,17.98183333,-66.9275,10.54,2.53,md,18,146,,0.16,pr,pr71339428,2022-03-08T03:19:51.900Z,"1 km WSW of Fuig, Puerto Rico",earthquake,0.42,0.46,0.172666849,10,reviewed,pr,pr
